TEAM_ID,MISSION_TIME,PACKET_COUNT,PACKET_TYPE,TP_ALTITUDE,TP_TEMP,TP_VOLTAGE,GYRO_R,GYRO_P,GYRO_Y,ACCEL_R,ACCEL_P,ACCEL_Y,MAG_R,MAG_P,MAG_Y,POINTING_ERROR,TP_SOFTWARE_STATE
1032,18:07:03,262,T,237.3,36.5,8.63,1.30859375,-2.802734375,3.296875,0,0,0,5.375,-50.5,11.125,-156.6,"RELEASED
"
1032,18:07:02,263,T,265.8,36.6,8.63,-0.015625,-0.060546875,0.009765625,0,0,0,4.875,-49.6875,19.8125,-86.8,"STANDBY
"
1032,18:07:02,264,T,253.8,36.5,8.63,3.90625,-3.576171875,6.8671875,0,0,0,48.0,-16.9375,2.0,19.1,"RELEASED
"
